subj,subj_type,subj_span,obj,obj_type,obj_span,relation
"Within the Administration, as a chairman of the President's Committee on Price Stability and Economic Growth, I have had the opportunity to make recommendations which have been adopted within the Administration and which I think have been reasonably effective",Premise,"((18847, 19106),)",It would be rather difficult to cover them in eight and- in two and a half minutes,Claim,"((17821, 17903),)",Support
"They bring their crops in or their livestock in, many of them about the same time",Premise,"((21996, 22077),)",therefore the farmer is not in a position to bargain very effectively in the market place,Claim,"((22189, 22278),)",Support
All that his advisers do is to give counsel when he asks for it,Premise,"((28151, 28214),)",I can only say that my experience is there for the people to consider,Claim,"((28324, 28393),)",Support
would have been paid for through the Social Security System and the Social Security tax,Premise,"((32040, 32127),)","the kind of programs that I've talked about, in my judgment, are uh - fiscally sound",Claim,"((31497, 31581),)",Support
all of the local school districts in the various states then have money which is freed to raise the standards for teachers' salaries,Premise,"((37458, 37590),)",the way that you get higher salaries for teachers is to support school construction,Premise,"((37356, 37439),)",Support
Every Republican on the Rules Committee voted against sending that bill to be considered by the members of the House of Representatives,Premise,"((42139, 42274),)",it is a fact in the August session that the four members of the Rules Committee who were Republicans joining with two Democrats voted against sending the aid to education bill to the floor of the House,Premise,"((41907, 42108),)",Support
yet nearly two-thirds to three-fourths of the Republicans in the House of Representatives voted against that proposal,Premise,"((46939, 47056),)",I don't think that's extreme at all,Claim,"((46898, 46933),)",Attack
The Chinese Communists have always had a large population,Premise,"((1870, 1927),)",they are important and dangerous now,Claim,"((1933, 1970),)",Attack
"We have to remember that the cold war that Mr. Khrushchev is waging and his colleagues are waging, is waged all over the world and it's waged right here in the United States",Premise,"((49527, 49700),)",The question of Communism within the United States has been one that has worried us in the past,Premise,"((49366, 49461),)",Support
"I must say that the reason that the schools have been constructed is because the local school districts were willing to increase the property taxes to a tremendously high figure - in my opinion, almost to the point of diminishing returns in order to sustain these schools",Claim,"((52525, 52796),)",this Administration has encouraged individual enterprise,Premise,"((52132, 52188),)",Attack
if you feel that we have to move again in the sixties,Premise,"((58790, 58843),)",I think you should vote for Mr. Nixon,Claim,"((58747, 58784),)",Attack
He was nominated by it,Premise,"((16874, 16896),)",I think Mr. Nixon is an effective leader of his party,Claim,"((17132, 17185),)",Support
I would only suggest that while we do not take the credit for it - I would not presume to - that since that committee has been formed the price line has been held very well within the United States,Premise,"((19235, 19432),)",I know Senator Kennedy suggested in his speech at Cleveland yesterday that that committee had not been particularly effective,Claim,"((19108, 19233),)",Attack
They have only a few purchasers that buy their milk or their hogs,Premise,"((22079, 22144),)",therefore the farmer is not in a position to bargain very effectively in the market place,Claim,"((22189, 22278),)",Support
Sometimes it has not,Premise,"((27950, 27970),)",I can only say that my experience is there for the people to consider,Claim,"((28324, 28393),)",Attack
I think we're going to have to do it,Claim,"((32248, 32284),)",I think that's a good investment,Claim,"((32214, 32246),)",Support
your local communities and your states are not going to meet the responsibility as much as they should,Claim,"((37724, 37826),)",we also want our education to be free of federal control,Claim,"((36867, 36923),)",Support
We offered an amendment to do so,Premise,"((42441, 42473),)",We wanted to tie it to Social Security,Claim,"((42401, 42439),)",Support
It was not an extreme bill,Claim,"((47347, 47373),)",I don't think that's extreme at all,Claim,"((46898, 46933),)",Equivalent
I think it could be a greater country,Claim,"((2866, 2903),)",I am not satisfied as an American with the progress that we're making,Claim,"((2766, 2835),)",Support
It is one that will continue to be a problem for years to come,Premise,"((49463, 49525),)",That's why we have to continue to be alert,Claim,"((49702, 49744),)",Support
that is growth,Claim,"((52331, 52345),)",That is the growth that we are looking for,Claim,"((52347, 52389),)",Equivalent
I stand for programs that will mean growth and progress,Claim,"((56904, 56959),)",I think that our program does a better job than his,Claim,"((56238, 56289),)",Support
I think Mr. Nixon is an effective leader of his party,Claim,"((17132, 17185),)",I hope he would grant me the same,Claim,"((17187, 17220),)",Support
it's rather difficult to use an overall figure taking those seven and a half years and comparing them to the last eight years,Claim,"((19882, 20007),)","I would say in the latter that the - and that's what I found uh - somewhat unsatisfactory about the figures uh - Mr. Nixon, that you used in your previous speech, when you talked about the Truman Administration",Claim,"((19449, 19659),)",Support
we now have the highest uh - surpluses - nine billion dollars worth,Premise,"((23082, 23149),)",The dropping of the support price in order to limit production does not work,Premise,"((23000, 23076),)",Support
Sometimes my advice has been taken,Premise,"((27914, 27948),)",I can only say that my experience is there for the people to consider,Claim,"((28324, 28393),)",Support
"The program which I advocated, which failed by five votes in the United States Senate, would have put medical care for the aged in Social Security",Premise,"((31888, 32034),)",The Vice President and I disagree on this,Claim,"((31645, 31686),)",Support
Teachers' salaries very fortunately have gone up fifty percent in the last eight years as against only a thirty-four percent rise for other salaries,Premise,"((37947, 38095),)","I believe, in other words, that we have seen the local communities and the state assuming more of that responsibility",Claim,"((37828, 37945),)",Support
Forty-four Democrats voted for it,Premise,"((42475, 42508),)",We wanted to tie it to Social Security,Claim,"((42401, 42439),)",Support
I don't say the Democrats are united in their support of the program,Claim,"((47595, 47663),)",I do say a majority are,Claim,"((47669, 47692),)",Attack
I think it could be a more powerful country,Claim,"((2941, 2984),)",I am not satisfied as an American with the progress that we're making,Claim,"((2766, 2835),)",Support
That's why we have to continue to be alert,Claim,"((49702, 49744),)",I agree with Senator Kennedy's appraisal generally in this respect,Claim,"((49298, 49364),)",Support
that is growth,Claim,"((52331, 52345),)",it is the growth that this Administration has supported and that its policies have stimulated,Claim,"((52391, 52484),)",Equivalent
the function of the president is to set before the people the unfinished business of our society as Franklin Roosevelt did in the thirties,Premise,"((58850, 58988),)",I think you should vote for Mr. Nixon,Claim,"((58747, 58784),)",Attack
"I come out of the Democratic party, which in this century has produced Woodrow Wilson and Franklin Roosevelt and Harry Truman",Premise,"((16623, 16748),)",I hope he would grant me the same,Claim,"((17187, 17220),)",Support
"You - Mr. Truman came to office in nineteen uh - forty-four and at the end of the war, and uh - difficulties that were facing the United States during that period of transition - 1946 when price controls were lifted",Premise,"((19661, 19876),)",it's rather difficult to use an overall figure taking those seven and a half years and comparing them to the last eight years,Claim,"((19882, 20007),)",Support
The dropping of the support price in order to limit production does not work,Premise,"((23000, 23076),)",there are no effective controls to bring supply and demand into better balance,Claim,"((22920, 22998),)",Support
Through the years I have sat in the National Security Council,Premise,"((27606, 27667),)",I can only say that my experience is there for the people to consider,Claim,"((28324, 28393),)",Support
"The program - the Javits-Nixon or the Nixon- Javits program - would have cost, if fully used uh - six hundred million dollars by the government per year, and six hundred million dollars by the state",Premise,"((31688, 31886),)",The Vice President and I disagree on this,Claim,"((31645, 31686),)",Support
I do not believe that the way to get more salaries for teachers is to have the federal government get in with a massive program,Claim,"((38140, 38267),)",we also want our education to be free of federal control,Claim,"((36867, 36923),)",Equivalent
The reason why these particular bills in these various fields that have been mentioned were not passed was not because the President was against them,Claim,"((44191, 44340),)",Well obviously my views are a little different,Claim,"((43071, 43117),)",Support
I think four of the eight Democrats voted to send it to the floor of the House - not one Republican - and they joined with those Democrats who were opposed to it.,Premise,"((47432, 47594),)",I say a majority of the Republicans are opposed to it,Claim,"((47698, 47751),)",Support
I'm not satisfied when the United States had last year the lowest rate of economic growth of any major industrialized society in the world,Claim,"((3061, 3199),)",I am not satisfied as an American with the progress that we're making,Claim,"((2766, 2835),)",Support
fair because by being fair we uphold the very freedoms that the Communists would destroy,Premise,"((49799, 49887),)",It is also essential in being alert that we be fair;,Claim,"((49746, 49798),)",Support
I must say that forty-four percent and that Soviet country is causing us a good deal of trouble tonight,Claim,"((57218, 57321),)","I don't want to see the day when it's sixty percent of ours, and seventy and seventy-five and eighty and ninety percent of ours, with all the force and power that it could bring to bear in order to cause our destruction",Claim,"((57379, 57598),)",Support
I prefer to take the overall percentage record of the last twenty years of the Democrats and the eight years of the Republicans to show an overall period of growth,Premise,"((20009, 20172),)","I would say in the latter that the - and that's what I found uh - somewhat unsatisfactory about the figures uh - Mr. Nixon, that you used in your previous speech, when you talked about the Truman Administration",Claim,"((19449, 19659),)",Support
We've had a uh - higher tax load from the Treasury for the farmer in the last few years with the lowest farm income in many years,Premise,"((23151, 23280),)",there are no effective controls to bring supply and demand into better balance,Claim,"((22920, 22998),)",Support
I have been in the cabinet,Premise,"((27669, 27695),)",I can only say that my experience is there for the people to consider,Claim,"((28324, 28393),)",Support
would have been paid for through the Social Security System and the Social Security tax,Premise,"((32040, 32127),)","The program which I advocated, which failed by five votes in the United States Senate, would have put medical care for the aged in Social Security",Premise,"((31888, 32034),)",Equivalent
My objection here is the potential cost in controls and eventual freedom for the American people by giving the federal government power over education,Premise,"((38315, 38465),)",I think this would be bad for the country,Claim,"((37094, 37135),)",Support
it was because the people were against them,Claim,"((44342, 44385),)",The reason why these particular bills in these various fields that have been mentioned were not passed was not because the President was against them,Claim,"((44191, 44340),)",Support
One party is ready to move in these programs,Claim,"((48254, 48298),)",I think it shows the difference between the two parties,Claim,"((48197, 48252),)",Support
economic growth means strength and vitality,Premise,"((3209, 3252),)",I'm not satisfied when the United States had last year the lowest rate of economic growth of any major industrialized society in the world,Claim,"((3061, 3199),)",Support
We uphold the standards of conduct which they would never follow,Premise,"((49889, 49953),)",fair because by being fair we uphold the very freedoms that the Communists would destroy,Premise,"((49799, 49887),)",Support
The Kerr bill provided assistance to all those who were not on Social Security,Premise,"((57713, 57791),)",Our program was an amendment to the Kerr bill,Premise,"((57666, 57711),)",Support
"I would say in the latter that the - and that's what I found uh - somewhat unsatisfactory about the figures uh - Mr. Nixon, that you used in your previous speech, when you talked about the Truman Administration",Claim,"((19449, 19659),)",I know Senator Kennedy suggested in his speech at Cleveland yesterday that that committee had not been particularly effective,Claim,"((19108, 19233),)",Support
there are no effective controls to bring supply and demand into better balance,Claim,"((22920, 22998),)",I think that this farm policy has failed,Claim,"((23282, 23322),)",Support
I have met with the legislative leaders,Premise,"((27697, 27736),)",I can only say that my experience is there for the people to consider,Claim,"((28324, 28393),)",Support
I support federal aid to education and federal aid for teachers' salaries,Claim,"((32139, 32212),)","the kind of programs that I've talked about, in my judgment, are uh - fiscally sound",Claim,"((31497, 31581),)",Support
I voted in favor of that proposal and supported it strongly,Premise,"((38999, 39058),)",I don't want the federal government paying teachers' salaries directly,Claim,"((39313, 39383),)",Support
it is very difficult to blame the four Republicans for the eight Democrats' not getting a something through that particular committee,Claim,"((43497, 43630),)",Well obviously my views are a little different,Claim,"((43071, 43117),)",Support
"Mr. Rockefeller rejected it in New York, said he didn't agree with the financing at all, said it ought to be on Social Security",Premise,"((48014, 48141),)",One party is ready to move in these programs,Claim,"((48254, 48298),)",Support
it means we're able to sustain our defenses,Premise,"((3254, 3297),)",I'm not satisfied when the United States had last year the lowest rate of economic growth of any major industrialized society in the world,Claim,"((3061, 3199),)",Support
Our program was an amendment to the Kerr bill,Premise,"((57666, 57711),)",it would not cover several million people who are not covered by Social Security at all,Premise,"((56125, 56212),)",Attack
In regard to uh - price stability uh - I'm not aware that that committee did produce recommendations that ever were certainly before the Congress from the point of view of legislation in regard to controlling prices,Premise,"((20174, 20389),)","Within the Administration, as a chairman of the President's Committee on Price Stability and Economic Growth, I have had the opportunity to make recommendations which have been adopted within the Administration and which I think have been reasonably effective",Premise,"((18847, 19106),)",Attack
if the farmers' economy continues to decline as sharply as it has in recent years,Premise,"((22648, 22729),)",I think you would have a recession in the rest of the country,Claim,"((22736, 22797),)",Support
"I have met with the President when he made the great decisions with regard to Lebanon, Quemoy and Matsu, other matters",Premise,"((27738, 27856),)",I can only say that my experience is there for the people to consider,Claim,"((28324, 28393),)",Support
which helped bring the recession of fifty-four,Premise,"((31295, 31341),)","In my judgment, the hard money, tight money policy, fiscal policy of this Administration has contributed to the slow-down in our economy",Claim,"((31157, 31293),)",Support
therefore I think that was a sound proposal,Claim,"((39627, 39670),)",I think that that provided assistance to our teachers for their salaries without any chance of federal control,Claim,"((39068, 39178),)",Support
to blame the President in his veto power for the inability of the Senator and his colleagues to get action in this special session uh - misses the mark,Claim,"((43657, 43808),)",Well obviously my views are a little different,Claim,"((43071, 43117),)",Support
It isn't really that,Claim,"((45649, 45669),)",we get the opinion that in getting programs through the House or the Senate it's purely a question of legislative finagling and all that sort of thing,Claim,"((45497, 45647),)",Attack
it means we're able to meet our commitments abroad,Premise,"((3299, 3349),)",I'm not satisfied when the United States had last year the lowest rate of economic growth of any major industrialized society in the world,Claim,"((3061, 3199),)",Support
Our program was an amendment to the Kerr bill,Premise,"((57666, 57711),)",I think it's a very clear contrast,Claim,"((57793, 57827),)",Support
"In regard to the exchange of students and labor unions, I am chairman of the subcommittee on Africa",Premise,"((20391, 20490),)",I think that one of the most unfortunate phases of our policy towards that country was the very minute number of exchanges that we had,Claim,"((20495, 20629),)",Support
The farmers are the number one market for the automobile industry of the United States,Premise,"((22497, 22583),)",the economy of the rest of the United States sooner or later will collapse,Claim,"((22421, 22495),)",Support
The President has asked for my advice,Premise,"((27858, 27895),)",I can only say that my experience is there for the people to consider,Claim,"((28324, 28393),)",Support
which made the recession of fifty-eight rather intense,Premise,"((31343, 31397),)","In my judgment, the hard money, tight money policy, fiscal policy of this Administration has contributed to the slow-down in our economy",Claim,"((31157, 31293),)",Support
I do not believe the federal government should pay directly teachers' salaries,Claim,"((38623, 38701),)",I do not believe that the way to get more salaries for teachers is to have the federal government get in with a massive program,Claim,"((38140, 38267),)",Support
"he has to have the people upo- behind him, not just a third of the Congress",Premise,"((43855, 43930),)",to blame the President in his veto power for the inability of the Senator and his colleagues to get action in this special session uh - misses the mark,Claim,"((43657, 43808),)",Support
we get the opinion that in getting programs through the House or the Senate it's purely a question of legislative finagling and all that sort of thing,Claim,"((45497, 45647),)","a president will be able to lead - a president will be able to get his program through - to the effect that he has the support of the country, the support of the people",Claim,"((45312, 45480),)",Attack
"I saw cases in West Virginia, here in the United States, where children took home part of their school lunch in order to feed their families",Premise,"((3626, 3766),)",I don't think we're meeting our obligations toward these Americans,Claim,"((3775, 3841),)",Support
"In August of 1960, when we tried to get it again, but this time for medical care, we received the support of one Republican in the Senate on this occasion",Premise,"((57978, 58132),)",I think it's a very clear contrast,Claim,"((57793, 57827),)",Support
I think that one of the most unfortunate phases of our policy towards that country was the very minute number of exchanges that we had,Claim,"((20495, 20629),)","after my first trip abroad - abroad, I strongly recommended that we increase our exchange programs particularly as they related to exchange of persons of leaders in the labor field and in the information field",Premise,"((18065, 18274),)",Attack
I don't think it provides effective governmental controls,Claim,"((24033, 24090),)",I don't believe that it's very much different from Mr. Benson's,Claim,"((23968, 24031),)",Support
we came to the Congress in the same year,Premise,"((28469, 28509),)",Senator Kennedy's is there for the people to consider,Claim,"((28395, 28448),)",Support
"which has slowed, somewhat, our economic activity in 1960",Premise,"((31403, 31460),)","In my judgment, the hard money, tight money policy, fiscal policy of this Administration has contributed to the slow-down in our economy",Claim,"((31157, 31293),)",Support
I do not believe the federal government should pay directly teachers' salaries,Claim,"((38623, 38701),)",I don't want the federal government paying teachers' salaries directly,Claim,"((39313, 39383),)",Equivalent
"I believe that you will find that the president, if it were a Republican, as it would be in my case, would be able to get his program through that Congress",Claim,"((45957, 46112),)","a president will be able to lead - a president will be able to get his program through - to the effect that he has the support of the country, the support of the people",Claim,"((45312, 45480),)",Support
I don't think we're meeting our obligations toward these Americans,Claim,"((3775, 3841),)",I do not think we're doing enough,Claim,"((2726, 2759),)",Support
"In 1935, when the Social Security Act was written, ninety-four out of ninety-five Republicans voted against it",Premise,"((57829, 57939),)",I think it's a very clear contrast,Claim,"((57793, 57827),)",Support
We did come forward with a program of students for the Congo of over three hundred which was more than the federal government had for all of Africa the previous year,Premise,"((20672, 20837),)",I don't think that uh - we have moved at least in those two areas with sufficient vigor,Claim,"((20847, 20934),)",Support
I think the support prices are tied to the average market price of the last three years,Claim,"((24092, 24179),)",I don't believe that it's very much different from Mr. Benson's,Claim,"((23968, 24031),)",Support
His experience has been different from mine,Claim,"((28511, 28554),)",Senator Kennedy's is there for the people to consider,Claim,"((28395, 28448),)",Support
There is no greater return to an economy or to a society than an educational system second to none,Premise,"((32563, 32661),)","I think to heap the burden further on the property tax, which is already strained in many of our communities, will provide, will make sh- insure, in my opinion, that many of our children will not be adequately educated, and many of our teachers not adequately compensated",Claim,"((32290, 32561),)",Support
that is why I supported it,Premise,"((39675, 39701),)",I don't want the federal government paying teachers' salaries directly,Claim,"((39313, 39383),)",Support
they will accomplish the end uh - without too great cost in dollars or in freedom,Premise,"((44626, 44707),)",they are not extreme,Premise,"((44596, 44616),)",Support
yet we could not get one Republican to join,Premise,"((47378, 47421),)",It was not an extreme bill,Claim,"((47347, 47373),)",Attack
I'm not satisfied when the Soviet Union is turning out twice as many scientists and engineers as we are,Claim,"((3843, 3946),)",I do not think we're doing enough,Claim,"((2726, 2759),)",Support
the agenda for our people - what we must do as a society to meet our needs in this country and protect our security and help the cause of freedom,Claim,"((58990, 59135),)",The means are at issue,Claim,"((58336, 58358),)",Support
I think it's true of Latin America also,Claim,"((20631, 20670),)","After my trip to South America, I made recommendations that a separate inter-American lending agency be set up which the South American nations would like much better than a lend- than to participate in the lending agencies which treated all the countries of the world the same",Premise,"((18276, 18553),)",Attack
a suggestion that would also mean raising prices,Premise,"((24601, 24649),)",I think this is the wrong direction,Claim,"((24790, 24825),)",Support
I have been in the Congress for fourteen years,Premise,"((29412, 29458),)",Senator Kennedy's is there for the people to consider,Claim,"((28395, 28448),)",Attack
the only conditions under which I would unbalance the budget would be if there was a grave national emergency or a serious recession,Premise,"((32944, 33076),)",I believe in the balanced budget,Claim,"((32906, 32938),)",Support
I think that that provided assistance to our teachers for their salaries without any chance of federal control,Claim,"((39068, 39178),)",I don't want the federal government paying teachers' salaries directly,Claim,"((39313, 39383),)",Support
We were threatened by a veto if we passed a dollar and a quarter,Premise,"((41430, 41494),)",it's extremely difficult with the great power that the president does to pass any bill when the president is opposed to it,Claim,"((41497, 41619),)",Support
The proposal advanced by you and by Mr. Javits would have cost six hundred millions of dollars,Premise,"((47917, 48011),)","Mr. Rockefeller rejected it in New York, said he didn't agree with the financing at all, said it ought to be on Social Security",Premise,"((48014, 48141),)",Support
"I'm not satisfied when many of our teachers are inadequately paid, or when our children go to school part-time shifts",Claim,"((3948, 4065),)",I do not think we're doing enough,Claim,"((2726, 2759),)",Support
The means are at issue,Claim,"((58336, 58358),)",The means are at question,Claim,"((58309, 58334),)",Equivalent
I don't believe that it's very much different from Mr. Benson's,Claim,"((23968, 24031),)",I therefore do not believe that this is a sharp enough breach with the past to give us any hope of success for the future,Claim,"((24212, 24333),)",Support
His has been in the legislative branch,Premise,"((28595, 28633),)",His experience has been different from mine,Claim,"((28511, 28554),)",Support
I think that we can finance essential programs within a balanced budget,Claim,"((33306, 33377),)",I believe in the balanced budget,Claim,"((32906, 32938),)",Support
in my opinion you protect the local authority over the school board and the school committee,Claim,"((39529, 39621),)",therefore I think that was a sound proposal,Claim,"((39627, 39670),)",Support
two-thirds of the Republicans in the House voted against a dollar twenty-five cent minimum wage,Premise,"((41227, 41322),)",it's extremely difficult with the great power that the president does to pass any bill when the president is opposed to it,Claim,"((41497, 41619),)",Support
The other party gives them lip service,Claim,"((48300, 48338),)",I think it shows the difference between the two parties,Claim,"((48197, 48252),)",Support
I'm not satisfied when we are failing to develop the natural resources of the United States to the fullest,Claim,"((4246, 4352),)",I do not think we're doing enough,Claim,"((2726, 2759),)",Support
I want them to say these were the years when the tide came in; these were the years when the United States started to move again,Claim,"((59744, 59872),)","it is to that great task, if we're successful, that we will address ourselves",Claim,"((60065, 60142),)",Support
I think that one of the most unfortunate phases of our policy towards that country was the very minute number of exchanges that we had,Claim,"((20495, 20629),)",I don't think that uh - we have moved at least in those two areas with sufficient vigor,Claim,"((20847, 20934),)",Support
we won't have that five or six percent surplus which breaks the price fifteen or twenty per cent,Premise,"((23735, 23831),)","I therefore suggest that in those basic commodities which are supported, that the federal government, after endorsement by the farmers in that commodity, attempt to bring supply and demand into balance - attempt effective production controls",Claim,"((23483, 23724),)",Support
I have voted in the last uh - eight years,Premise,"((29460, 29501),)",Senator Kennedy's is there for the people to consider,Claim,"((28395, 28448),)",Attack
"the Democratic platform, which did mention cutting the national debt",Claim,"((33540, 33608),)",I think what Mr. Novins was referring to was not one of Senator Kennedy's speeches,Claim,"((33452, 33534),)",Equivalent
it is a fact that in the last eight years the Democratic Congress has reduced the appropri- the requests for the appropriations by over ten billion dollars,Premise,"((39938, 40093),)",the Democratic platform would cost a good deal of money,Premise,"((39789, 39844),)",Attack
one Republican voted for it,Premise,"((42510, 42537),)",We wanted to tie it to Social Security,Claim,"((42401, 42439),)",Support
I'm not satisfied when I see men like Jimmy Hoffa - in charge of the largest union in the United States - still free,Claim,"((4128, 4244),)",I do not think we're doing enough,Claim,"((2726, 2759),)",Support
"I don't want historians, ten years from now, to say, these were the years when the tide ran out for the United States",Claim,"((59625, 59742),)","it is to that great task, if we're successful, that we will address ourselves",Claim,"((60065, 60142),)",Support
I think it's true of Latin America also,Claim,"((20631, 20670),)",I don't think that uh - we have moved at least in those two areas with sufficient vigor,Claim,"((20847, 20934),)",Support
that can only be done through governmental action,Premise,"((23432, 23481),)","I therefore suggest that in those basic commodities which are supported, that the federal government, after endorsement by the farmers in that commodity, attempt to bring supply and demand into balance - attempt effective production controls",Claim,"((23483, 23724),)",Support
the Vice President was uh - presiding over the Senate and meeting his other responsibilities,Premise,"((29511, 29603),)",Senator Kennedy's is there for the people to consider,Claim,"((28395, 28448),)",Attack
I think what Mr. Novins was referring to was not one of Senator Kennedy's speeches,Claim,"((33452, 33534),)",I did not advocate reducing the federal debt,Premise,"((30469, 30513),)",Support
it is a fact that in the last eight years the Democratic Congress has reduced the appropri- the requests for the appropriations by over ten billion dollars,Premise,"((39938, 40093),)","That is wholly wrong, wholly in error",Claim,"((39895, 39932),)",Support
we were informed at the time it came to a vote that if it was adopted the President of the United States would veto it,Premise,"((42543, 42661),)","In my judgment, a vigorous Democratic president supported by a Democratic majority in the House and Senate can win the support for these programs",Claim,"((42663, 42808),)",Support
the Soviet Union by 1975 will be producing more power than we are,Premise,"((4604, 4669),)",I'm not satisfied when we are failing to develop the natural resources of the United States to the fullest,Claim,"((4246, 4352),)",Support
I think that uh - the tide could begin to run against us,Claim,"((59563, 59619),)",the agenda for our people - what we must do as a society to meet our needs in this country and protect our security and help the cause of freedom,Claim,"((58990, 59135),)",Support
which was Mr. Benson's theory,Premise,"((24181, 24210),)",I don't believe that it's very much different from Mr. Benson's,Claim,"((23968, 24031),)",Support
"I have met met uh - decisions over eight hundred times on matters which affect not only the domestic security of the United States, but as a member of the Senate Foreign Relations Committee",Premise,"((29605, 29794),)",Senator Kennedy's is there for the people to consider,Claim,"((28395, 28448),)",Attack
"That, however, is raising taxes for those who pay Social Security",Claim,"((34036, 34101),)",it will be necessary to raise taxes.,Claim,"((33830, 33866),)",Support
That is not my view and I think it ought to be stated very clearly on the record,Claim,"((40095, 40175),)","That is wholly wrong, wholly in error",Claim,"((39895, 39932),)",Support
if you send a Republican president and a Democratic majority and the threat of a veto hangs over the Congress,Premise,"((42814, 42923),)","in my judgment you will continue what happened in the August session, which is a clash of parties and inaction",Claim,"((42925, 43035),)",Support
I'm not satisfied until every American enjoys his full constitutional rights,Claim,"((4790, 4866),)",I do not think we're doing enough,Claim,"((2726, 2759),)",Support
They start from a much lower base,Premise,"((54236, 54269),)",The Soviet Union has been moving faster than we have.,Claim,"((54146, 54199),)",Attack
I think that this farm policy has failed,Claim,"((23282, 23322),)",I think Mr.Benson's program has failed,Claim,"((23833, 23871),)",Equivalent
he has to raise taxes,Claim,"((34675, 34696),)","the kind of programs that I've talked about, in my judgment, are uh - fiscally sound",Claim,"((31497, 31581),)",Attack
"the very reason that concerned Senator Kennedy when in January of this year, in his kick-off press conference, he said that he favored aid for school construction",Premise,"((36279, 36441),)",I think that the reason that I voted against having the federal government uh - pay teachers' salaries,Claim,"((36163, 36265),)",Support
there are eight Democrats on that committee and four Republicans,Premise,"((43400, 43464),)",it is very difficult to blame the four Republicans for the eight Democrats' not getting a something through that particular committee,Claim,"((43497, 43630),)",Support
I don't want the talents of any American to go to waste,Claim,"((5357, 5412),)",I think we can do better,Claim,"((5331, 5355),)",Support
That's the same percentage that it was twenty years ago,Premise,"((54466, 54521),)",They start from a much lower base,Premise,"((54236, 54269),)",Support
I of course disagree with Senator Kennedy insofar as his suggestions as to what should be done uh - with re- on the farm program,Claim,"((24369, 24497),)",I think this is the wrong direction,Claim,"((24790, 24825),)",Equivalent
he has to unbalance the budget,Claim,"((34700, 34730),)",I think that we can finance essential programs within a balanced budget,Claim,"((33306, 33377),)",Attack
at that time did not feel that there should be aid for teachers' salaries,Premise,"((36447, 36520),)","the very reason that concerned Senator Kennedy when in January of this year, in his kick-off press conference, he said that he favored aid for school construction",Premise,"((36279, 36441),)",Attack
Well obviously my views are a little different,Claim,"((43071, 43117),)","in my judgment you will continue what happened in the August session, which is a clash of parties and inaction",Claim,"((42925, 43035),)",Attack
I don't at all,Claim,"((5494, 5508),)",I don't want the talents of any American to go to waste,Claim,"((5357, 5412),)",Equivalent
The Soviet Union has been moving faster than we have.,Claim,"((54146, 54199),)",I think it is well to put in perspective where we really do stand with regard to the Soviet Union in this whole matter of growth,Claim,"((54016, 54144),)",Attack
I don't think this has worked in the past,Claim,"((24827, 24868),)",I think this is the wrong direction,Claim,"((24790, 24825),)",Support
that's the way I read his remarks,Premise,"((36532, 36565),)",at that time did not feel that there should be aid for teachers' salaries,Premise,"((36447, 36520),)",Support
The reason why these particular bills in these various fields that have been mentioned were not passed was not because the President was against them,Claim,"((44191, 44340),)","in my judgment you will continue what happened in the August session, which is a clash of parties and inaction",Claim,"((42925, 43035),)",Attack
I want the individuals to meet their responsibilities,Claim,"((5510, 5563),)",I think we can do better,Claim,"((5331, 5355),)",Support
"Our health program - the one that Senator Javits and other Republican Senators, as well as I supported - is one that provides for all people over sixty-five who want health insurance, the opportunity to have it if they want it",Premise,"((55602, 55828),)","I believe that when we examine the Democratic platform, when we examine the proposals that he has discussed tonight, when we compare them with the proposals that I have made, that these proposals that he makes would not result in greater growth for this country than would be the case if we followed the programs that I have advocated",Claim,"((55133, 55467),)",Support
I do not think it will work in the future,Claim,"((24870, 24911),)",I think this is the wrong direction,Claim,"((24790, 24825),)",Support
it doesn't mean that you - the government doesn't have to put out the money this year,Claim,"((34466, 34551),)",he has to unbalance the budget,Claim,"((34700, 34730),)",Support
When the federal government gets the power to pay teachers,Premise,"((36925, 36983),)","inevitably in my opinion, it will acquire the power to set standards and to tell the teachers what to teach",Claim,"((36985, 37092),)",Support
It was because they were too extreme,Claim,"((44387, 44423),)",The reason why these particular bills in these various fields that have been mentioned were not passed was not because the President was against them,Claim,"((44191, 44340),)",Support
I want the states to meet their responsibilities,Claim,"((5569, 5617),)",I think we can do better,Claim,"((5331, 5355),)",Support
It is essential that a man who's president of this country certainly stand for every program that will mean for growth,Premise,"((56780, 56898),)",I stand for programs that will mean growth and progress,Claim,"((56904, 56959),)",Support
It recognizes that the government has a responsibility to get the farmer out of the trouble he presently is in because the government got him into it,Premise,"((25023, 25172),)",we can't let the farmer go by himself at the present time,Claim,"((25212, 25269),)",Support
I believe that's the best way to aid our schools,Claim,"((35115, 35163),)","As far as aid for school construction is concerned, I favor that",Claim,"((34910, 34974),)",Support
"inevitably in my opinion, it will acquire the power to set standards and to tell the teachers what to teach",Claim,"((36985, 37092),)",I think this would be bad for the country,Claim,"((37094, 37135),)",Support
if we are going to meet the responsibilities which time and events have placed upon us,Premise,"((6695, 6781),)",I think we're going to have to do a better job,Claim,"((6648, 6694),)",Support
If you feel that everything that is being done now is satisfactory,Premise,"((58360, 58426),)",I think you should vote for Mr. Nixon,Claim,"((58747, 58784),)",Support
